date,ticker,close
2026-03-02,NVDA,100.00
2026-03-03,NVDA,101.40
2026-03-04,NVDA,102.20
2026-03-05,NVDA,101.80
2026-03-06,NVDA,103.10
2026-03-09,NVDA,104.20
2026-03-10,NVDA,104.80
2026-03-11,NVDA,105.10
2026-03-12,NVDA,106.60
2026-03-13,NVDA,107.20
2026-03-16,NVDA,108.10
2026-03-17,NVDA,109.00
2026-03-18,NVDA,109.50
2026-03-19,NVDA,110.80
2026-03-20,NVDA,111.40
2026-03-23,NVDA,112.00
2026-03-24,NVDA,113.20
2026-03-25,NVDA,113.90
2026-03-26,NVDA,114.40
2026-03-27,NVDA,115.30
2026-03-30,NVDA,116.20
2026-03-31,NVDA,117.10
2026-03-05,TSLA,200.00
2026-03-06,TSLA,198.20
2026-03-09,TSLA,196.40
2026-03-10,TSLA,194.80
2026-03-11,TSLA,192.70
2026-03-12,TSLA,191.50
2026-03-13,TSLA,193.20
2026-03-16,TSLA,194.00
2026-03-17,TSLA,195.30
2026-03-18,TSLA,194.70
2026-03-19,TSLA,196.10
2026-03-20,TSLA,197.00
2026-03-09,MSFT,410.00
2026-03-10,MSFT,411.50
2026-03-11,MSFT,412.30
2026-03-12,MSFT,414.00
2026-03-13,MSFT,413.60
2026-03-16,MSFT,415.20
2026-03-17,MSFT,416.80
2026-03-18,MSFT,417.50
2026-03-19,MSFT,418.30
2026-03-20,MSFT,420.10
2026-03-23,MSFT,421.00
2026-03-24,MSFT,422.20
2026-03-25,MSFT,423.00
2026-03-26,MSFT,424.50
2026-03-27,MSFT,425.10
2026-03-30,MSFT,426.20
2026-03-31,MSFT,427.80
2026-04-01,MSFT,428.40
2026-04-02,MSFT,429.10
2026-04-03,MSFT,430.00
2026-04-06,MSFT,431.20
2026-04-07,MSFT,432.00
2026-03-10,AMD,150.00
2026-03-11,AMD,148.80
2026-03-12,AMD,147.30
2026-03-13,AMD,146.50
2026-03-16,AMD,145.20
2026-03-17,AMD,144.80
2026-03-18,AMD,145.60
2026-03-19,AMD,146.10
2026-03-20,AMD,147.20
2026-03-23,AMD,146.80
2026-03-24,AMD,145.90

